gid,id_no,name,name_other,components,part_of,rec_type,rec_note,country,state_prov,latitude,longitude,loc_note,dep_type,dep_note,dep_form,commods,hree_note,lree_note,ree_ratio,ree,status,stat_note,ree_mins,sig_mins,oth_mins,age_mzn,age_ma,host_age,hage_ma,host_lith,host_unit,assoc_rock,alteration,company,comments,ref_list,discov_yr,expl_note,mine_meth,p_status,pstat_note,p_years,p_refs,p_note,rr_ore_mt,rr_treo_mt,rr_treogrd,rr_ree_grd,rr_cutoff,rr_hm_mt,rr_hm_pct,rr_min_mt,rr_min_pct,rr_mon_mt,rr_mon_pct,rr_oth_grd,rr_yr_est,rr_refs,rr_regcode,rr_note,region,geom
11,4087.00000000,Ambatofinandrahana,,,,intrusion or complex,,Madagascar,Fianarantsoa,-20.4500000000,46.9500000000,Approximate location.,alkaline igneous,,,REE,,,,,Deposit,,"bastnäsite, monazite",,,,,,,nepheline syenite dikes,,,,,Small amounts of bas recovered from pegmatites.,Neary and Highley (1984); Woolley (2001),,,,Past producer,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000A09999999979474020333333337334C0
12,4192.00000000,Amis,Brandberg,,,intrusion or complex,,Namibia,Erongo,-21.1988000000,14.4555000000,Estimated location.,alkaline igneous,,,"REE, Th",,,,,Occurrence,,"yttrofluorite, monazite, xenotime, allanite, chevkinite, bastnäsite, fergusonite","fluorite, U-pyrochlore, zircon","arfvedsonite, aegirine, quartz, riebeckite, astrophyllite, pyroxene, amphibole, biotite",Lower Cretaceous,,,,fenitized peralkaline arfvedsonite-aegirine granite and associated agpaitic pegmatites,,,,,On southwest periphery of the Brandberg complex.,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000000A8C64B37E92C40D0718A8EE43235C0
49,4137.00000000,Drag,Glibat Drag,,,intrusion or complex,,Morocco,Oued ed Dahab-Lagouira,22.2099000000,-14.9248000000,This part of Morocco is in dispute with Western Sahara.,carbonatite,,,"Nb, REE, Ta, U",,,,,Occurrence,,,iron oxide,,,,,,"dolomitic carbonatite, iron oxide breccia",,Proterozoic gneiss,,,Related to Glibat Lafhouda carbonatite mineralization.,"Morocco ONHYM (2011, 2015b)",,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000060AEB6627FD92DC0406EA301BC353640
215,5006.00000000,725 Area,,,,district or area,,China,Guangxi,24.6250000000,111.633300000,,supergene,"alluvial placer, weathered residual, ion adsorption, residual",,"REE, Zr",Y,,,,Occurrence(?),,monazite,zircon,,Neogene–Quaternary,,,,,,,,,,Kamitani and others (2007),,,,Not known,,,,,,,,,,,,,,,,,,,,,China,0101000020E6100000A823B9FC87E85B401000000000A03840
13,4088.00000000,Ampasiibitika,Ambohimirahavavy,,TRE project,site,,Madagascar,Antsiranana,-13.8005000000,48.2098000000,On Ampasindava Peninsula.,alkaline igneous with residual enrichment,"peralkaline granitic dikes, skarn",,"REE, Ta, Nb, Zr",,,,,Deposit,,"pyrochlore, eudialyte, monazite-(Ce), chevkinite-(Ce), eudialyte, nacareniobsite-(Ce), turkestanite, cerite-(Ce), fergusonite-(Y), parisite-(Ce), synchysite-(Ce), gagarinite, bastnäsite, xenotime","pyrochlore, zircon, columbite, baddeleyite, fluorite, fluorapatite, thorite, ilmenite, microlite, cassiterite, sphalerite, galena","quartz, feldspar, aegirine, arfvedsonite, amphibole, riebeckite, aenigmatite",Oligocene–Miocene,,Oligocene–Miocene,23-24 Ma,"eudialyte granite, granite, skarn, syenite, trachyte",Ambohimirahavavy alkaline complex,Jurasic sediments,,Tantalus Rare Earths AG (TRE),Dikes are 0.25-1.0 m thick and dips change radically over short distances (meters).,Estrade and others (2014); Gilbertson and others (2011); Woolley (2001),,"20,000 m of planned diamond drilling initiated by TRE in 2010.",,No production,,,,,17 inferred,0.006,0.1,,,,,,,,,,2011,Pittuck (2013),JORC compliant,,Africa,0101000020E6100000B859F5B9DA1A484040E5D022DB992BC0
14,4127.00000000,Anezrouf,,,,intrusion or complex,,Mali,Kidal,20.0670000000,0.0500000000000,,carbonatite,alkalic igneous OR carbonatite,,REE,,,,,Occurrence,,"pyrochlore, wöhlerite","apatite, titanite, fluorite, zircon, pyrite","sodalite, cancrinite, aegirine, augite, calcite, wollastonite, nepheline, pyroxene, biotite",Permian or younger,,,,"nepheline syenite, ijolite, carbonatite, phonolite, pyroxenite, fenite",,,,,,Liégeois and others (1991); Sauvage and Savard (1985); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000000C099999999A93F10D578E926113440
15,4145.00000000,Angoche,,"Congolone, Marrua",,district or area,,Mozambique,Nampula,-16.2237000000,39.9496000000,Estimated location.,shoreline placer,,,"Ti, Zr, REE",,,,,Deposit,,monazite,"ilmenite, zircon, rutile, magnetite",,,,,,beach sand,,,,Kenmare Resources (1988),Monazite is ~1.7 percent of HM.,Cílek (1989); Kenmare Resources plc (2013); Roskill Information Services (1988); O'Driscoll (1988),,,,Not known,,,,,124 estimated,,,,,,4,,,,,,,Roskill Information Services (1988),Not compliant,,Africa,0101000020E61000001024287E8CF94340701D3867443930C0
16,4193.00000000,Aris,,,,intrusion or complex,,Namibia,Khomas,-22.7700000000,17.1370000000,In Aus Mountains.,alkaline igneous,,,REE,,,,,Showing,,"monazite, eudialyte","sphalerite, apophyllite, makatite",,,,,,phonolite,,,,,Monazite and veinlets with eudialyte have been reported in phonolite in the Aris area.,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000608D976E1223314080EB51B81EC536C0
17,4001.00000000,Atakor,,,,intrusion or complex,,Algeria,Tamanghasset,23.2312000000,5.69750000000,Estimated location in Atakor volcanic field.,alkaline igneous,,,REE,,,,,Showing,,"låvenite, mosandrite, eudialyte, rosenbuschite(?)",,"feldspar, nepheline, analcime, haüyne, pyroxene, arfvedsonite, aenigmatite",Miocene,5.7–19.9 Ma,Miocene–Pliocene(?),,agpaitic phonolite,,"trachyte, phonolite",,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000040D7A3703DCA1640E0D556EC2F3B3740
18,4005.00000000,Bailundo,,,,intrusion or complex,,Angola,Huambo,-12.1523000000,15.9533000000,Estimated location.,carbonatite,,,"P, REE",,,,,Occurrence,,"bastnäsite, parisite, synchysite, RE phosphates","magnetite, apatite, barite, pyrochlore, hollandite, strontianite","calcite, dolomite, ankerite",Cretaceous,,,,"calcite carbonatite, phoscorite, fenite",,,,,Small scale mining of magnetite has occurred.,Alberti and others (1999); Filho and others (1991); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000E08D06F016E82F40805CFE43FA4D28C0
19,4211.00000000,Banke,,,,intrusion or complex,,Nigeria,Kaduna,10.8977000000,8.55110000000,,alkaline igneous,,,"Sn, REE",,,,,Showing,,allanite,"hedenbergite, zircon, fluorite","feldspar, quartz, arfvedsonite",Jurassic(?),,Jurassic(?),,ignimbrite,,,,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000E0A679C7291A2140203D9B559FCB2540
20,4090.00000000,Befitina,,,TRE project,site,,Madagascar,Antsiranana,-13.8218000000,48.1365000000,,supergene,"eluvial clays, argillaceous laterite, ion adsorption",,"REE, Ta, Nb, Zr, Sn",19% of TRE,"Ce, La,  Nd, Pr",,,Deposit,,,baddeleyite,,,,,,weathered granite,,,,Tantalus Rare Earths AG (TRE),Weathered clays are related to REE-bearing peralkaline intrusive stocks and breccias; REE content is higher in saprolites than ferruginous layers.,Gilbertson and others (2011); Pittuck (2013),,"5,000 m of planned diamond drilling and 5,000 m shallow drilling initiated by TRE in 2010.",,No production,,,,,19 inferred,0.025 inferred,0.09,,,,,,,,,,2011,Pittuck (2011),JORC compliant,,Africa,0101000020E6100000C0F3FDD47811484080B437F8C2A42BC0
21,4146.00000000,Beira,,,,district or area,,Mozambique,Sofala,-19.6850000000,35.1400000000,Estimated location.,shoreline placer,,,"Ti, REE",,,,,Occurrence(?),,monazite,"ilmenite, rutile, zircon",,,,,,beach sand,,,,,Monazite is ~1.5 percent of HM,Cílek (1989),,,,No produciton(?),,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000058B81E85EB91414080C2F5285CAF33C0
22,4091.00000000,Beravina,Ambatofotsy,,,site,,Madagascar,Mahajanga,-18.1442000000,45.3128000000,,other igneous deposit,NYF(?) pegmatite,,"Zr, REE, Nb, F",,,,,Showing,,monazite,"zircon, magnetite, ilmenite, titanite","microcline, quartz, pyrite",,,Paleoproterozoic,500-600 Ma,"migmatite—hornblende gneiss, rhyolite",,,,Austral Resources Limited,Occurrence forms a hill.,Austral Resources Limited (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000301895D409A8464040158C4AEA2432C0
23,4093.00000000,Bezavona,Ampasindava area,,,intrusion or complex,,Madagascar,Antsiranana,-13.9320000000,48.0856000000,Estimated location.,alkaline igneous,,,REE,,,,,Occurrence,,"rinkite, mosandrite, eudialyte",,"astrophyllite, arfvedsonite, aenigmatite, biotite",,,,,"nepheline syenite, phonolite, nordmarkite, theralite",,,,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000D844D8F0F40A484060BE9F1A2FDD2BC0
24,4294.00000000,Bikita,Mdara,,,district or area,,Zimbabwe,Masvingo,-19.9500000000,31.4333000000,,other igneous deposit,,pegmatite,"Li, REE, Ta, KAO, Sn",,,,,Occurrence,,,,,,,,,,,,,,,Taylor and others (2005),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000605BB1BFEC6E3F402033333333F333C0
25,4295.00000000,Bindura,,,,site,,Zimbabwe,Mashonaland Central,-17.2971000000,31.3313000000,,unclassified,,,"REE, Ta",,,,,Showing,,,,,,,,,,,,,,,de Kun (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000402AA913D0543F4030A4DFBE0E4C31C0
26,4041.00000000,Bingo,Bingu,,,intrusion or complex,,Democratic Republic of the Congo,Nord-Kivu,0.560800000000,29.2985000000,Estimated location.,carbonatite with residual enrichment,,,REE,,,,,Occurrence,,,"magnetite, apatite, pyrochlore, titanite, andradite (melanite), fluorite, got, zircon","calcite, wollastonite, biotite, sodic amphibole, fayalite, hectoliter",,,,,"carbonatite, nepheline syenite, fenite",,,,,Deposit largely a phosphate resource.,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000030DBF97E6A4C3D40001A73D712F2E13F
27,4147.00000000,Boa Esperança,Ribaué pegmatite field,,Ribaué pegmatite field,site,historic pegmatite mine,Mozambique,Nampula,-15.1120000000,38.1680000000,,other igneous deposit,,pegmatite,"KAO, FLD, Zr, REE",,,,,Occurrence(?),,"samarskite, polycrase-(Y), pyrochlore, monazite, xenotime","zircon, columbite(?)","quartz, microcline, muscovite",,,,,,,,,,,Cílek (1989); Hains and Mounde (2010),,,,Past producer(?),,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000038DD240681154340C04D621058392EC0
28,4130.00000000,Bofal-Loubboira,Wadi Guellouar,,,district or area(?),,Mauritania,Brakna,16.4170000000,-13.7500000000,,phosphorite,,,REE,,,,,Occurrence,,,,,Middle Eocene,,,,limestone; clay; red sandstones,,,,,,Boujo and Jiddou (1989); de Kun (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000E0FFFFFFFF7F2BC0A06E1283C06A3040
29,4006.00000000,Bonga,,,,intrusion or complex,,Angola,Huíla,-14.2617000000,13.9683000000,,carbonatite,,,"Nb, P, REE",,,,,Occurrence,,"parisite, synchysite","apatite, pyrite, barite, pyrochlore, magnetite, rutile, strontianite","garnet, calcite, ankerite-dolomite, biotite",,,,,"carbonatite, fenite",,,,,,Alberti and others (1999); Coltorti and others (1993); Filho and others (1991); Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000206F8104C5EF2B40E0B9DA8AFD852CC0
30,4223.00000000,Boorama,,,,site(?),,Somalia,Awdal,10.0500000000,43.0830000000,,unclassified,,,"Ta, REE",,,,,Occurrence,,pyrochlore,pyrochlore,,,,,,,,,,,,Arab Organisation for Mineral Resources (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000B8C876BE9F8A4540C099999999192440
31,4131.00000000,Bou Naga,,Guelb Zeilaga,,intrusion or complex,,Mauritania,Trarza,18.9833000000,-13.3167000000,,carbonatite,,,"REE, Ba, F",,,,,Deposit,"deposit, small","bastnäsite, monazite","apatite, barite, fluorite",,,,,,hydrothermal carbonatite,,,,Peaks Metals & Mining Technology Co.,LREE dominant. Deposit was worked for 18 months 1968-1970.,Arab Organisation for Mineral Resources (1987); Jackson and Christiansen (1993); Mauritanie Ressources Limited and Société Mauritanienne de l'Industrie Minière (2011); Neary and Highley (1984); Weng and others (2015),,,,Past producer,,1967–1970,,"Deposit was worked approximately 18 months between 1967 and 1970; over 1,200 t of yttrium concentrate was produced.",0.1,,4.4,,,,,,,,8,,1970,Jackson and Christiansen (1993),Not compliant,,Africa,0101000020E610000040499D8026A22AC030287E8CB9FB3240
32,4194.00000000,Brandberg,Eris,Amis,,intrusion or complex,,Namibia,Erongo,-21.1333000000,14.5500000000,,unclassified,,,"Sn, W, REE",,,,,Showing,,"allanite, chevkinite, monazite","fluorite, (uranpyrochlore), zircon","arfvedsonite, quartz, riebeckite, astrophyllite",Lower Cretaceous,,,,biotite granite,,,,,,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000C099999999192D40808EE4F21F2235C0
33,4226.00000000,Buffalo Fluorspar,,,,site,historic F mine,South Africa,Limpopo,-24.4811000000,28.6619000000,,fluorite deposit; tailings,,,"F, REE",,,,,Deposit,,"monazite, fluorite, allanite, bastnäsite","fluorite, apatite",,Mesoproterozoic,,,,granite,,,,,"F veins in leptite pendants of the Bushveld Granite; Hoshino (2013) reports average of 3,089 ppm REE in tailings.",Gieré (1996); Hoshino (2013); Jackson and Christiansen (1993); Neary and Highley (1984); Watson and Snyman (1975),,,,No production,,,,,50,,,,,,,,,,1,,1989,Jackson and Christiansen (1993),Not compliant,,Africa,0101000020E61000000039454772A93C40001B9E5E297B38C0
34,4272.00000000,Bukusu,"Busumbu, Busumu, Busuku",,,intrusion or complex,intrusion with historic P mine,Uganda,Eastern,0.883000000000,34.2670000000,,carbonatite with residual enrichment,,,"P, REE, Cu",,,,,Occurrence,,pyrochlore,"apatite, carbonate-fluorapatite, magnetite, vermiculite, zircon, barite, pyrochlore, baddeleyite",,Tertiary (Paleogene–Neogene?),,,,"carbonatite, agglomerate, ijolite, melteigite, nepheline syenite",,,,,Residual soils ≤ 60 m thick. Francolite occurs in a secondary phoscrete (concretionary hard pan).,Mathers (1994); de Kun (1987); Plummer (1968); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E61000002004560E2D22414000C84B378941EC3F
35,4077.00000000,Buru,,,,intrusion or complex,,Kenya,Rift Valley,-0.189500000000,35.1643000000,Just SW of the Tinderet volcano.,carbonatite with residual enrichment,volcanic,,REE,,,,,Occurrence,,"bastnäsite, monazite, parisite, synchysite","fluorite, pyrochlore, barite, magnetite, apatite, hematite, goethite, siderite, fluorite, psilomelane","calcite, biotite, aegirine",Neogene,Probably 5-22 Ma,Neogene,,"laterized pyroclastic ferrocarbonatite, calciocarbonatite, carbonatite tuff, fenite",,,,,In Nyanza rift; tuff is laterized.,Onuonga and Bowden (2000); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000D05D4BC80795414000C04B378941C8BF
36,4227.00000000,Bushmanland,,,,district or area,,South Africa,Northern Cape,-30.4000000000,18.6000000000,,other igneous deposit,REE-bearing pipes and monazite-magnetite veins that may be related to intrusions with alkaline or carbonatite affinity,,REE,,,,,Showing(?),,,monazite,magnetite,,,,,"volcanic ash, tuff, other",,,,Frontier Rare Earths Ltd.,,Frontier Rare Earths Ltd. (2012b),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000A0999999999932406066666666663EC0
37,4094.00000000,Caldera,,,,site,,Madagascar,Antsiranana,-13.8056000000,48.1877000000,,supergene,"laterite, ion adsorption",,REE,,,,,Occurrence,,,,,,,,,weathered granite,,,,Tantalus Rare Earths AG (TRE),,Gilbertson and others (2011); Pittuck (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000D0BAB88D06184840A0506B9A779C2BC0
38,4228.00000000,Cape Morgan,,,,district or area,,South Africa,Eastern Cape,-32.7000000000,28.3667000000,,shoreline placer,,,"Ti, Zr, Fe, REE",,,,,Occurrence,,,"ilmenite, rutile, magnetite, zircon",quartz,Holocene,,Holocene,,beach sand and dunes,,,,,,Taylor and others (2005); Towner and others (1988),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000080711B0DE05D3C4090999999995940C0
39,4007.00000000,Capuia,,,,intrusion or complex,,Angola,Huambo,-11.8860000000,16.2347000000,Source gave Province as Bié.,carbonatite,,,"U, P, Ba, REE, Th, Sr, Nb, Cu, Zn, Zr",,,,,Occurrence,,,"magnetite, barite",calcite,,,,,"carbonatite, fenite",,,,,High grades of REE and Th have been reported.,Premoli (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000105F984C153C30400083C0CAA1C527C0
40,4105.00000000,Chambe,Mt. Mulanje,,,site,,Malawi,Mulanje,-15.9145000000,35.5350000000,,supergene,ion adsorption(?),,REE,,,,,Showing,,,,"kaolinite, biotite, albite, orthoclase, muscovite, quartz",,,,,weathered syenite,,,,"Gold Canyon Resources Inc., JOGMEC","Le Couteur (2011) reports fairly low REE values (200-700 ppm), but 74 percent appear to be easily leachable.",Chiwanbo and Malikebu (2013); Le Couteur (2011); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000018AE47E17AC441404062105839D42FC0
41,4284.00000000,Chilembwe,Petauke,,,intrusion or complex,,Zambia,Eastern,-13.9830000000,31.6830000000,,alkaline igneous,,,"P, REE",,,,,Occurrence,,,"apatite, fluorapatite","quartz, (hornblende), biotite",Upper Cambrian,,,,syenite,,,,,Approximately five orebodies are intruded into syenite.,de Kun (1987); Simukanga and others (1994); van Straaten (2002),1978,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000102B8716D9AE3F4080EFA7C64BF72BC0
42,4106.00000000,Chilwa Island,Shirwa Island,,,intrusion or complex,,Malawi,Zomba,-15.3306000000,35.6163000000,,carbonatite with residual enrichment,,,"P, REE",,,,,Occurrence,,"florencite, synchysite, bastnäsite, monazite, parisite","apatite, pyrochlore, rutile, tantalite, magnetite, pyrite","microcline, calcite, biotite, quartz",Lower Cretaceous,,,,"carbonatite, sövite, breccia",Chilwa Island carbonatite,,,,,Gupta and Krishnamurthy (2005); Malunga and others (1991); Overstreet (1967); Weng and others (2015); Woolley (2001),,,,No production,,,,,0.38,,5.0,,,,,,,,,,,Weng and others (2015),Not compliant,,Africa,0101000020E610000030431CEBE2CE4140601D386744A92EC0
43,4285.00000000,Chondoka,,,,site,,Zambia,Central,-13.3833000000,29.5500000000,Estimated location.,paleoplacer(?),,,"Au, REE",,,,,Occurrence,,"monazite, xenotime",zircon,,,,,,pebble conglomerate,Muva Supergroup,quartzite,,,,Mambwe and Mwape (1991),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E6100000E0CCCCCCCC8C3D40001DC9E53FC42AC0
44,4195.00000000,Christiana Farm,,,,site,,Namibia,Otjozondjupa,-19.0167000000,18.1096000000,,carbonatite with residual enrichment,,,REE,,,,,Occurrence,,,,,,,,,,,,,Avonlea Minerals Ltd.,,Avonlea Minerals Ltd. (2012),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa,0101000020E610000050A4DFBE0E1C3240D0D78173460433C0
